,ticker,buy,sell,bonds
0,NVG_LS,2.8562538623809814,2.303172897642505,1000
0,RAM_LS,2.7339026927948,3.9889025221225536,1000
0,CTT_LS,6.448239326477051,0.28529187878085704,1000
0,PHR_LS,0.21606756746768951,-0.1429303817620665,1000
0,SONC_LS,0.3826606571674347,0.7518374970764202,1000
0,SON_LS,0.9203718900680542,1.488449882453245,1000
0,JMT_LS,10.590091705322266,29.807037607088898,1000
0,RENE_LS,2.0077908039093018,4.02997652396488,1000
0,EDPR_LS,7.033344268798828,16.600330004550383,1000
0,EGL_LS,1.7103493213653564,3.129554187445157,1000
0,COR_LS,5.377387046813965,7.836048996417905,1000
0,SEM_LS,11.055805206298828,9.810132896365364,1000
0,ALTR_LS,3.543654680252075,4.753216176037005,1000
0,IBS_LS,5.66250467300415,4.762274822438873,1000
0,GALP_LS,8.994633674621582,20.244293023387225,1000
0,EDP_LS,2.4596216678619385,20.244293023387225,1000
0,BCP_LS,0.621718168258667,0.1494728011862794,1000
